,0
24,0.9976275974710158
30,0.9959835135641159
163,0.9937468565001831
34,0.9912452565995336
141,0.9831367068710993
57,0.9805807347177301
123,0.9803928340642768
74,0.9786574857633084
142,0.9782467885377523
133,0.9761865256055363
11,0.9761673024885591
9,0.973050912750032
14,0.9630082978572339
130,0.9626868571216972
49,0.9614360344026202
160,0.9595444855376741
158,0.9435138869096205
55,0.941877491841732
16,0.9205755975042734
36,0.9117095435452568
147,0.9083051317698284
69,0.9063842341397761
54,0.9054199928061686
115,0.9015937554732605
134,0.9015152319633515
84,0.8995640832643316
50,0.8945612820599889
159,0.8924230141547537
37,0.8833019314736568
129,0.8703203684687639
165,0.867967126250899
22,0.8571461193730224
75,0.8555033405210136
149,0.8528762354585082
79,0.8479257633797728
95,0.8477429803252481
156,0.8453001607919632
47,0.8442478125282337
125,0.8368178346731018
45,0.8360008203759914
126,0.8344672668760066
25,0.827659685871373
66,0.8262283763293846
161,0.8240099209851804
167,0.8205176109906561
88,0.817901145579644
56,0.797928135462751
157,0.7913472018315201
65,0.7900110981618438
117,0.7806813786350929
166,0.7788433929044237
164,0.7699761150755651
59,0.7689249448368111
33,0.7634234395238145
61,0.7567663961658132
8,0.7513199012568832
80,0.7511359548683524
60,0.7345725555055511
6,0.7331176641472975
19,0.7308275164741844
138,0.7295227627601247
139,0.7290520059857692
53,0.7268522447703532
41,0.7200318179411757
109,0.7185592355113821
146,0.7139140691701837
135,0.70943036704187
89,0.7084256815318646
67,0.7045630042838746
29,0.7002668547691877
93,0.6983804164041071
62,0.6982157373316145
128,0.6953426751319767
40,0.6952419377913035
63,0.6903467069150635
140,0.686089646087385
168,0.6841449125599433
121,0.6760804152425524
136,0.6716785866289003
155,0.6539400925361054
32,0.6530042636235649
162,0.6496434374513727
119,0.6490774871598242
81,0.6445553335649983
20,0.6436137775354278
96,0.641679564650948
124,0.626213469222245
148,0.6212801914668928
145,0.6207066775079768
0,0.6178528360009692
132,0.6152781668498999
91,0.6111138795947111
48,0.6050246566928648
72,0.6043302739986263
120,0.6037585810043695
43,0.6011830752655494
131,0.5966876734369992
15,0.5945962559517983
104,0.5929190439376598
35,0.5889234468982065
101,0.5858694877777146
108,0.5853711139342122
137,0.582910195993154
103,0.5776320149025027
111,0.5758052588819145
18,0.5672642969752457
68,0.5662095579768236
118,0.5656403508715779
78,0.5626059271992621
38,0.5592039176178327
107,0.5553270187553552
143,0.5522670968814317
150,0.5521192953513487
152,0.5399479884230929
153,0.5339272771052065
87,0.5288099246108449
31,0.5281491037881595
51,0.505802932244165
98,0.5012571579949001
2,0.48664370481953345
39,0.47886905267647306
112,0.4704058785810479
71,0.46504016328763853
144,0.45073727997401214
154,0.43984229920081386
21,0.4306452192617405
113,0.4303508841328808
151,0.42624517910054827
70,0.42105919205557285
46,0.4201678527033782
1,0.42011788045926735
100,0.41942419582788937
23,0.39231915264395123
92,0.3914432193279188
7,0.3870645602940337
76,0.36821101199916895
52,0.3610347307926536
73,0.3574098567679257
27,0.34750001518639384
17,0.34434390864851394
97,0.33665147549766594
114,0.31444693582417343
12,0.30564929858685574
64,0.2949796902927827
42,0.28619329493835266
5,0.27577783271973344
83,0.26464435399654135
122,0.26242927157766455
127,0.26232445042603414
94,0.26176509567180767
44,0.23815314989929112
3,0.23149152950996846
13,0.22548667363131508
4,0.20790176167057683
102,0.20762179117837506
105,0.17386461301620904
110,0.1581778104602295
90,0.14989662520206418
86,0.12905781201895705
82,0.11893143981737599
85,0.11663153685723647
99,0.11490995910387743
28,0.11464024178524394
58,0.09979738938230205
10,0.047190068382259594
77,0.039292015454024234
26,0.021704746652412548
106,0.012982451941660584
116,0.0045012460021399735
